0,1,2,3,4,5,6,7
421,12,526,12,526,24,421,24
14,14,170,14,170,28,14,28
414,27,527,27,527,41,414,41
14,30,166,30,166,46,14,46
384,42,526,44,526,58,383,56
14,50,163,50,163,65,14,65
214,56,333,56,333,76,214,76
16,84,141,84,141,98,16,98
294,84,472,84,472,98,294,98
16,107,127,107,127,122,16,122
14,129,334,129,334,145,14,145
16,149,537,149,537,165,16,165
16,165,89,165,89,178,16,178
17,196,113,198,113,216,17,214
14,216,181,219,181,234,14,231
462,218,506,218,506,232,462,232
50,233,269,235,269,252,50,250
14,253,210,253,210,269,14,269
462,253,506,253,506,266,462,266
50,269,269,269,269,286,50,286
14,285,201,288,201,302,14,300
462,288,506,288,506,300,462,300
50,304,269,304,269,320,50,320
14,322,362,322,362,338,14,338
462,322,506,322,506,336,462,336
50,337,269,337,269,354,50,354
462,356,506,356,506,369,462,369
14,357,392,357,392,372,14,372
50,373,269,373,269,389,50,389
13,600,64,603,63,616,12,614
356,601,510,601,510,617,356,617
14,624,94,624,94,638,14,638
373,625,498,625,498,638,373,638
372,734,453,734,453,750,372,750
14,752,201,752,201,766,14,766
